店家名稱,備註,名單,文字,有無買到,檔案和媒體,網址
鞋子,,,"https://www.notion.so/2d937953514480dcaeebe596a6351d6a?pvs=21 XT-6
https://www.notion.so/2d937953514480dcaeebe596a6351d6a?pvs=21 SCS Pro
-
https://www.notion.so/2d937953514480828c14c97799fde355?pvs=21 https://www.hoka.com/en/us/all-gender-footwear/mafate-speed-2/1126851.html?dwvar_1126851_color=BCSTL(無防水)
https://www.notion.so/2d937953514480828c14c97799fde355?pvs=21 Mafate Speed4 lite
HOKA https://www.hoka.com/en/us/all-gender-footwear/mafate-three2/1141572.html?dwvar_1141572_color=CTRN https://www.ispo.com.tw/SalePage/Index/10635258
HOKA Bondi 9  / https://www.hoka.com/en/us/all-gender-footwear/stealth%2Ftech-bondi-8-caged/197634737034.html
HOKA B3LS
HOKA Project Transport
HOKA Kaha3 有Gore-tex
-
On https://www.on.com/ja-jp/products/cloudmonster-2-m-3me1012/mens/black-frost-shoes-3ME10121197
On https://www.on.com/ja-jp/products/cloud-6-wp-3mf1006/mens/black-black-shoes-3MF10061043
-
ASICS GEL-TRABUCO 13 GTX
ASICS  https://www.jellysportshop.com/products/1011b681-002
ASICS https://www.asics.com/jp/ja-jp/gel-kayano-14/p/1203A537-109.html
-
Norda ",No,%E6%96%B0%E6%B8%85%E5%96%AE/%E9%9E%8B%E5%AD%90/SOA6-1HT005_L.jpg,
,,,暖爐襪🧦 ⭐️⭐️⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202dd3-efce/IMG_3041.jpeg,
Montbell,,,圍巾,No,%E6%96%B0%E6%B8%85%E5%96%AE/Montbell/IMG_3043.jpeg,https://www.montbell.com/jp/ja/products/detail/1118824?fo=0&color=BK
,,,脖圍,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202dd3-3e92/IMG_3042.jpeg,https://www.montbell.com/jp/ja/products/detail/1118823?fo=0&color=NV
,,,蜂蜜拿鐵,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202de3-8781/IMG_3086.jpeg,
,,,濃厚榛果巧克力冰棒,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202de3-5d79/IMG_3087.jpeg,
,,,奶油麵包（🉑配烤雞吃）,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202de3-056e/IMG_3088.jpeg,
唐吉,價位900-1880日幣,,暖爐襪🧦,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E5%94%90%E5%90%89/609175476_17934804282116405_735962581842111996_n.jpg,
,,,Kose coen rich Q10護手霜⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e03-81d2/6893466_01_011_R_m.webp,
,,,rosy rosa 粉撲,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e03-877e/12148015_O_m.webp,
,,,ZEO-LINE 發熱衣,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e23-4c10/IMG_3140.jpeg,https://www.montbell.com/jp/ja/products/detail/1107704?fo=0&color=BK
,,,DHC GABA,No,,
,,,手套,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e33-2634/IMG_3155.jpeg,https://www.montbell.com/jp/ja/products/detail/1118625?fo=1&color=BK
,,,抓絨衣 ⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e33-7b29/IMG_3156.jpeg,https://www.montbell.com/jp/ja/products/detail/1106753?fo=0&color=IV
,,,AZELAIN 二酸淨痘安瓶,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C/IMG_3229.jpeg,
,,,me+me水光瞳高保濕眼藥水⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e63-6b91/P5038312255268_1_121153552.jpg,
,,,樂敦製藥 V5護眼舒眠強目素⭐️⭐️⭐️,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e63-86d1/202305_20279251-2a5b-4d2e-b18b-b4de4e1a1658.webp,
Workman,"銀座有一間
山形站買？",,"疲勞恢復衣⭐️⭐️⭐️
https://workman.jp/shop/g/g2300022342101/
https://workman.jp/shop/g/g2300012030216/",No,"%E6%96%B0%E6%B8%85%E5%96%AE/Workman/IMG_1065.jpg, %E6%96%B0%E6%B8%85%E5%96%AE/Workman/o1080144015667306869.jpg",https://workman.jp/shop/e/emedh-lp/
,,,酪梨起司口味多力多滋,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e93-854a/Screenshot_2026-01-16_at_1.16.14_am.png,
,,,2026年初限定Horoyoi,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e93-2be4/Screenshot_2026-01-16_at_1.11.20_am.png,
,,,草莓口味 Pocky,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e93-416b/Screenshot_2026-01-16_at_1.17.36_am.png,
,,,シュガートーストクリーム Sugar Toast Cream,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e93-73cc/Screenshot_2026-01-16_at_1.19.43_am.png,
,,,斜肩包,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e93-f8f5/1123970_bk.webp,https://www.montbell.com/jp/ja/products/detail/1123970?fo=0&color=NV
,,,帽子,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e93-2ec0/1128759_dgy.webp,https://www.montbell.com/jp/ja/products/detail/1128759?fo=0&color=DGY
,,,收納包,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202e93-e7e7/IMG_3380.jpeg,
,,,バレルパンツ Ｃ長褲,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202ea3-6e19/goods_484875_sub13_3x4.jpeg,https://www.uniqlo.com/jp/ja/products/E484875-000/00?colorDisplayCode=34&sizeDisplayCode=004
,,,GABA 巧克力,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202eb3-ee83/%E6%87%82%E5%90%83%E6%90%AD%E5%90%83_foodyAmigo-%E7%BE%8E%E9%A3%9F_%E6%97%85%E9%81%8A_%E4%BC%B4%E6%89%8B%E7%A6%AE%E9%96%8B%E7%AE%B1_-_%E5%90%8D%E5%8F%A4%E5%B1%8B%E4%BC%B4%E6%89%8B%E7%A6%AE_%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%99%90%E5%AE%9A%E7%9A%84%E5%AE%A2%E7%BE%8E%E5%A4%9A%E5%B0%8F%E5%80%89%E7%B4%85%E8%B1%86%E5%90%90%E5%8F%B8%E9%A4%85%E4%B9%BE_%E8%9D%A6%E4%BB%99%E8%B2%9D%E4%B9%8B%E9%87%8C_%E6%A1%82%E6%96%B0%E5%A0%82_%E7%82%B8%E6%B5%B7%E8%80%81%E9%85%A5_%E5%9D%82%E8%A7%92%E7%B8%BD%E6%9C%AC%E9%8B%AA_%E6%B5%B7%E8%80%81%E4%BB%99%E8%B2%9D_%E9%9D%92%E6%9F%B3%E7%B8%BD%E6%9C%AC%E5%AE%B6_%E9%9D%92%E8%9B%99%E9%A5%85%E9%A0%AD_%E7%B6%B2%E8%B7%AF%E6%8E%A8%E8%96%A6%E8%97%A5.png,
,,,妮維雅 男士藥用化妝水,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202eb3-4ed3/%E6%87%B6%E6%95%A3%E6%97%A5%E8%A8%98_Lazy_TV_-_%E6%97%A5%E6%9C%AC%E5%B9%B4%E5%BA%A6%E5%BF%85%E8%B2%B7%E5%A5%BD%E7%89%A9%E6%8E%A8%E8%96%A6%EF%BD%9C%E8%97%A5%E5%A6%9D%E3%80%81%E8%B6%85%E5%B8%82%E7%98%8B%E7%8B%82%E5%9B%9E%E8%B3%BC%E6%B8%85%E5%96%AE%E4%B8%80%E6%AC%A1%E7%9C%8B%EF%BD%9C%E6%87%B6%E6%95%A3%E6%97%A5%E8%A8%98_zQGNmwmDWpU_-_1185x667_-_3m42s.png,
,,,乾燥さん乳霜,No,%E6%96%B0%E6%B8%85%E5%96%AE/%E7%84%A1%E6%A8%99%E9%A1%8C%202ec3-9138/Screenshot_2026-01-18_at_4.24.19_pm.png,
,,,香氛蠟燭,No,,
